country,province,year,month,arrivals
Afghanistan,AB,10,9,4
Afghanistan,AB,10,10,0
Afghanistan,AB,10,12,8
Afghanistan,AB,11,3,2
Afghanistan,AB,11,6,2
Afghanistan,AB,11,7,2
Afghanistan,AB,11,8,18
Afghanistan,AB,11,9,2
Afghanistan,AB,11,10,14
Afghanistan,AB,11,11,8
Afghanistan,AB,12,2,2
Afghanistan,AB,12,3,2
Afghanistan,AB,12,5,2
Afghanistan,AB,12,7,4
Afghanistan,AB,12,8,8
Afghanistan,AB,12,9,6
Afghanistan,AB,12,10,2
Afghanistan,AB,12,12,2
Afghanistan,AB,13,3,2
Afghanistan,AB,13,7,2
Afghanistan,AB,13,12,8
Afghanistan,AB,14,4,2
Afghanistan,AB,14,9,6
Afghanistan,AB,14,10,4
Afghanistan,AB,15,2,4
Afghanistan,AB,15,3,4
Afghanistan,AB,15,11,2
Afghanistan,AB,15,12,4
Afghanistan,BC,10,9,22
Afghanistan,BC,10,10,4
Afghanistan,BC,10,11,26
Afghanistan,BC,10,12,4
Afghanistan,BC,11,1,6
Afghanistan,BC,11,2,8
Afghanistan,BC,11,3,2
Afghanistan,BC,11,4,6
Afghanistan,BC,11,6,4
Afghanistan,BC,11,7,3
Afghanistan,BC,11,8,4
Afghanistan,BC,11,9,1
Afghanistan,BC,11,10,20
Afghanistan,BC,11,11,8
Afghanistan,BC,11,12,8
Afghanistan,BC,12,2,2
Afghanistan,BC,12,3,20
Afghanistan,BC,12,5,4
Afghanistan,BC,12,6,5
Afghanistan,BC,12,7,13
Afghanistan,BC,12,8,8
Afghanistan,BC,12,9,11
Afghanistan,BC,12,10,20
Afghanistan,BC,12,11,14
Afghanistan,BC,12,12,16
Afghanistan,BC,13,1,4
Afghanistan,BC,13,2,4
Afghanistan,BC,13,3,4
Afghanistan,BC,13,4,2
Afghanistan,BC,13,5,9
Afghanistan,BC,13,6,12
Afghanistan,BC,13,7,4
Afghanistan,BC,13,8,6
Afghanistan,BC,13,9,23
Afghanistan,BC,13,10,3
Afghanistan,BC,13,11,12
Afghanistan,BC,13,12,4
Afghanistan,BC,14,3,2
Afghanistan,BC,14,4,2
Afghanistan,BC,14,5,8
Afghanistan,BC,14,6,14
Afghanistan,BC,14,7,11
Afghanistan,BC,14,8,6
Afghanistan,BC,14,9,1
Afghanistan,BC,14,10,2
Afghanistan,BC,14,11,2
Afghanistan,BC,14,12,12
Afghanistan,BC,15,1,12
Afghanistan,BC,15,2,6
Afghanistan,BC,15,3,2
Afghanistan,BC,15,4,4
Afghanistan,BC,15,5,2
Afghanistan,BC,15,6,2
Afghanistan,BC,15,8,12
Afghanistan,BC,15,9,1
Afghanistan,BC,15,12,2
Afghanistan,BC,16,1,26
Afghanistan,BC,16,3,10
Afghanistan,BC,16,5,5
Afghanistan,MB,10,10,2
Afghanistan,MB,11,2,1
Afghanistan,MB,11,6,1
Afghanistan,NL,10,9,2
Afghanistan,NL,12,7,13
Afghanistan,NL,13,11,3
Afghanistan,NS,10,12,4
